iter	Passed	Remaining
417	2458	3423
418	2464	3417
419	2469	3409
420	2475	3403
421	2480	3397
422	2485	3390
423	2491	3384
424	2496	3377
425	2501	3370
426	2507	3364
427	2512	3357
428	2517	3350
429	2522	3343
430	2527	3337
431	2532	3330
432	2538	3323
433	2543	3317
434	2548	3310
435	2554	3304
436	2560	3298
437	2566	3292
438	2571	3286
439	2576	3279
440	2582	3273
441	2587	3267
442	2592	3259
443	2597	3253
444	2603	3246
445	2607	3239
446	2613	3232
447	2618	3225
448	2624	3220
449	2629	3213
450	2634	3207
451	2639	3200
452	2645	3193
453	2649	3186
454	2655	3180
455	2661	3174
456	2665	3167
457	2670	3160
458	2676	3154
459	2682	3148
460	2687	3142
461	2692	3135
462	2697	3129
463	2702	3122
464	2708	3115
465	2713	3108
466	2718	3102
467	2723	3095
468	2728	3089
469	2734	3083
470	2739	3077
471	2745	3070
472	2750	3064
473	2755	3058
474	2762	3052
475	2767	3046
476	2772	3039
477	2777	3033
478	2783	3027
479	2788	3020
480	2793	3014
481	2799	3008
482	2804	3002
483	2810	2996
484	2816	2990
485	2821	2983
486	2826	2977
487	2832	2971
488	2837	2965
489	2842	2958
490	2847	2952
491	2853	2946
492	2859	2940
493	2864	2933
494	2869	2927
495	2875	2921
496	2880	2915
497	2885	2908
498	2890	2902
499	2895	2895
500	2901	2889
501	2907	2883
502	2911	2877
503	2917	2871
504	2923	2865
505	2928	2859
506	2933	2852
507	2939	2846
508	2944	2840
509	2949	2833
510	2954	2827
511	2959	2820
512	2965	2815
513	2971	2809
514	2976	2803
515	2982	2797
516	2987	2791
517	2993	2785
518	2998	2778
519	3004	2773
520	3009	2766
521	3014	2760
522	3020	2754
523	3025	2748
524	3031	2742
525	3036	2736
526	3041	2730
527	3047	2724
528	3059	2724
529	3067	2720
530	3073	2715
531	3080	2709
532	3085	2703
533	3091	2697
534	3097	2691
535	3102	2685
536	3107	2679
537	3113	2673
538	3118	2667
539	3124	2661
540	3130	2655
541	3135	2649
542	3141	2643
543	3146	2637
544	3152	2631
545	3157	2625
546	3162	2619
547	3168	2613
548	3173	2607
549	3178	2600
550	3183	2594
551	3188	2588
552	3194	2581
553	3199	2576
554	3204	2569
555	3210	2563
556	3215	2557
557	3219	2550
558	3225	2544
559	3230	2538
560	3235	2531
561	3240	2525
562	3245	2519
563	3250	2512
564	3256	2506
565	3261	2500
566	3267	2494
567	3272	2488
568	3277	2482
569	3282	2476
570	3288	2470
571	3293	2464
572	3298	2457
573	3303	2451
574	3308	2445
575	3314	2439
576	3319	2433
577	3324	2427
578	3330	2421
579	3335	2415
580	3340	2409
581	3346	2403
582	3351	2397
583	3357	2391
584	3362	2385
585	3368	2379
586	3373	2373
587	3378	2367
588	3383	2360
589	3388	2354
590	3394	2348
591	3399	2342
592	3404	2336
593	3410	2330
594	3415	2324
595	3420	2318
596	3425	2312
597	3430	2306
598	3436	2300
599	3440	2293
600	3445	2287
601	3451	2281
602	3456	2275
